facility_name,srn,epa_class,properties.address_full,lat,long,geometry.coordinates,properties.violationCount,2018,2019,2020,2021,2022,2023,type,geometry.type,properties.group_id,properties.group_name,properties.color,properties.most_recent_vn,properties.violation_article,properties.facility_name,properties.srn
KENT FOUNDRY CO.,B1737,SM OPT OUT,"1413 Callaghan St., Greenville, MI 48838",43.18603040000001,-85.2281716,"[-85.2281716,43.18603040000001]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-07-29,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1737/B1737_VN_20210729.pdf' target='_blank'>July 29, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to maintain and operate a broken bag detection system</li><li>Failure to maintain a minimum temperature of 1240 degrees F, for the exhaust gases from the Thermfire System</li></ul></p><br>",Kent Foundry Co.,B1737
GRAYLING GENERATING STATION LTD PTNR,N2388,MAJOR,"4400 W Four Mile Rd, Grayling, MI 49738",44.605459,-84.6905249,"[-84.6905249,44.605459]",2,0.0,0.0,0.0,2.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2021-07-28,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N2388/N2388_VN_20210728.pdf' target='_blank'>July 28, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Second Violation Notice</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N2388/N2388_VN_20210618.pdf' target='_blank'>June 18, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to continuously monitor with a flow CEM installed, calibrated, maintained, and operated in accordance with the procedures set forth in 40 CFR 60.13 and 40 CFR Part 60, Appendix B, or 40 CFR Part 75, as appropriate.</li><li>The permittee shall monitor and record the nitrogen oxides emissions, sulfur dioxide emissions, carbon dioxide concentration and exhaust flow rate of EUBOILER on a continuous basis in accordance with 40 CFR Part 75.</li><li>Failure to report and certify deviations from compliance as required in annual certifications of compliance and semi-annual deviation reporting.</li></ul></p><br>",Grayling Generating Station Ltd Ptnr,N2388
STATE HEAT TREATING COMPANY,P1208,MINOR,"520 32Nd Street SE, Grand Rapids, MI 49548",42.9054383,-85.65386629999999,"[-85.65386629999999,42.9054383]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-07-27,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1208/P1208_VN_20210727.pdf' target='_blank'>July 27, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to obtain a Permit to Install</li></ul></p><br>",State Heat Treating Company,P1208
"COMPASSIONATE ADVISORS-PINCANNA, LLC",P1098,MINOR,"419 E Pinconning Road, Pinconning, MI 48650",43.8540997,-84.0302465,"[-84.0302465,43.8540997]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-07-23,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1098/P1098_VN_20210723.pdf' target='_blank'>July 23, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Late submittal of Malfunction Abatement Plan (MAP)</li><li>Operating without pollution control equipment</li><li>Late stack test</li><li>Late submittal of notifications</li><li>Compliance with New Source Performance Standards (NSPS), Subpart JJJJ</li><li>Late submittal of MAP</li></ul></p><br>","Compassionate Advisors-Pincanna, LLC",P1098
"BUCKEYE TERMINALS, LLC-MARSHALL TERMINAL",B9052,SM OPT OUT,"12451 Old Us  27 S, Marshall, MI 49068",42.2891048,-84.9644713,"[-84.9644713,42.2891048]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-07-19,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B9052/B9052_VN_20210719.pdf' target='_blank'>July 19, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The actived carbon system is required to meet a minimum of 95% reduction efficiency of hydrocarbon to the atmosphere. Based on a review of the provided photoionization dector monitoring (PID), the system did not meet the requirements on 10/16/20 and 2/4/21 with efficiencies of 89.4% and 83.7% respecively.</li><li>The permittee is required to monitor for breakthrough on a biweekly basis. Records provided show the</li><li>monitoring frequency of breakthrough is currently done every other month.</li><li>The permittee shall not operate the system once breakthrough occurs without carbon change out, and breakthrough is considered to occur when the reading between the first and second canister is 20% or more of the influent VOC concentation. A review of the PID records indicate that the unit exceeded the 20% breakthrough limit on 6/22/20, 12/21/20, 1/25/21, 2/4/21, and 2/25/21 with the highest exceedance being 46.5%.</li></ul></p><br>","Buckeye Terminals, LLC-Marshall Terminal",B9052
LAKELAND MONROE GROUP - PLANT 2,N7645,SM OPT OUT,"5400 36th St SE, Grand Rapids, MI 49512",42.897208,-85.53368979999999,"[-85.53368979999999,42.897208]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-07-15,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7645/N7645_VN_20210715.pdf' target='_blank'>July 15, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Daily oven temperature records not maintained.</li><li>RTO operating temperature records were not maintained for the past twelve-month period.</li></ul></p><br>",Lakeland Monroe Group - Plant 2,N7645
"CENTENNIAL COATINGS, LLC",A5814,MINOR,"371 N Centennial, Zeeland, MI 49464",42.8192489,-86.0112867,"[-86.0112867,42.8192489]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-07-12,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/A5814/A5814_VN_20210712.pdf' target='_blank'>July 12, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to calibrate the thermocouples associated with the primary and secondary chambers annually.</li><li>Failure to install a device to monitor the afterburner temperature continuously (at least once every 15 min).</li><li>Failure to maintain afterburner temperature records.</li></ul></p><br>","Centennial Coatings, LLC",A5814
WIL-KAST INC,N7534,MINOR,"8025 S Division, Grand Rapids,   MI   49548",42.81851,-85.66395,"[-85.66395, 42.81851]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-06-28,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7534/N7534_VN_20210628.pdf' target='_blank'>June 28, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Installation and operation without a Permit to Install</li></ul></p><br>",Wil-Kast Inc,N7534
PEERLESS METAL POWDERS & ABRASIVES,M3754,MINOR,"18900 Rialto, Melvindale, MI 48122",42.2722744,-83.1726814,"[-83.1726814,42.2722744]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-06-24,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/M3754/M3754_VN_20210624.pdf' target='_blank'>June 24, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Natural gas combustion records are not kept.</li><li>Records of the amount of iron/steel processed by FG- MELT on a monthly and rolling 12-month time period were not provided.</li><li>Records of the amount of iron/steel processed by EU- ASPDRYSEG1 and EU- ASPDRYSEG2 on a monthly and rolling 12-month time period were not provided.</li><li>PM, PM10, and PM2.5 emissions have not been calculated from material throughput.</li><li>NO , CO, VOC, individual HAP, X and aggregate HAP emissions have not been calculated from material throughput.</li><li>Afterburner temperatures are collected less frequently than every 15 minutes.</li></ul></p><br>",Peerless Metal Powders & Abrasives,M3754
"CLIFF A MESSING EXC, INC.",P0679,MINOR,"8826 E. Huron Line Road, Ruth, MI 48470",43.688211,-82.6782307,"[-82.6782307,43.688211]",2,1.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-06-23,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0679/P0679_VN_20210623.pdf' target='_blank'>June 23, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>At the time of inspection, the evaluation of visible emissions had not yet been completed. A previous violation notice was sent on March 9, 2018, for incompletion of the evaluation of visible emissions for EUPROCESS.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0679/P0679_VN_20180314.pdf' target='_blank'>March 14, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 1783 Main Street</span></p><p><ul><li>The permittee shall receive permission for and perform an initial evaluation of visible emissions and submit a complete report of opacity observations to the AQD.</li><li>Installed Pioneer Jaw Crusher 10-36 and Return Conveyor 24- 34 without a permit to install.</li></ul></p><br>","Cliff A Messing Exc, Inc.",P0679
COASTAL CONTAINER CORP,B5453,MINOR,"1201 Industrial Ave, Holland, MI 49422",42.7574306,-86.08699709999999,"[-86.08699709999999,42.7574306]",2,0.0,0.0,0.0,2.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-06-22,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B5453/B5453_VN_20210622.pdf' target='_blank'>June 22, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Second Violation Notice</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B5453/B5453_VN_20210507.pdf' target='_blank'>May 7, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2020 air pollution report</li></ul></p><br>",Coastal Container Corp,B5453
CARMEUSE LIME & STONE DRUMMOND ISLAND,B2362,MINOR,"Po Box 529, Drummond Is, MI 49726",46.0205456,-83.7331233,"[-83.7331233,46.0205456]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-06-17,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2362/B2362_VN_20210617.pdf' target='_blank'>June 17, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 23311 East Haul Road</span></p><p><ul><li>Visible emissions from truck traffic on the haul road exceeded the 6-minute average opacity limit of 5%.</li><li>Fugitive dust emissions affecting multiple properties. The properties are located southeast of the facility on Parrish Point.</li></ul></p><br>",Carmeuse Lime & Stone Drummond Island,B2362
"RIETH RILEY CONSTRUCTION CO., INC.",B1646,SM OPT OUT,"4150 S. Creyts Rd., Lansing, MI 48917",42.691932,-84.64187249999999,"[-84.64187249999999,42.691932]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-06-14,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1646/B1646_VN_20210614.pdf' target='_blank'>June 14, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Stack Height determined during inspection is less than the minimum permitted height of 44.3 feet above ground level</li></ul></p><br>","Rieth Riley Construction Co., Inc.",B1646
HAWKINS HOMESTEAD,N8053,MINOR,"4904 W Barnes Rd, Mason, MI 48854",42.524209,-84.53833449999999,"[-84.53833449999999,42.524209]",2,1.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-06-14,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N8053/N8053_VN_20210614.pdf' target='_blank'>June 14, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The inspection and maintenance program records, as specified in Appendix A, have not been maintained for the permanent storage or nurse tanks.</li><li>The emergency response plan has not been reviewed and approved by the local fire department or county emergency response agency for 2019, 2020, and 2021 Spring seasons.</li><li>Records of the date of annual review and approval of the emergency response plan have not been kept.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N8053/N8053_VN_20180717.pdf' target='_blank'>July 17, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The emergency response plan fer the anhydrous ammonia tank has not been reviewed with the local fire department fer the most recen! vear.</li><li>Records have not been kept of the lates! annual review and approval of emergency response olan with local fire deoartment.</li><li>Sign with emergency telephone numbers was not present or consoicuouslv olaced.</li></ul></p><br>",Hawkins Homestead,N8053
"STERLING PERFORMANCE, INC.",P0423,SM OPT OUT,"54420 Pontiac Trail, Milford, MI 48381",42.5227393,-83.5888767,"[-83.5888767,42.5227393]",2,0.0,0.0,1.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-06-10,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0423/P0423_VN_20210610.pdf' target='_blank'>June 10, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The facility is not keeping required proper hourly fuel use and operation time records required by the permit. Based on the monthly hours and fuel use, the permittee exceeded the material limit.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0423/P0423_VN_20200928.pdf' target='_blank'>September 28, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The permittee was not keeping record of wide open throttle (WOT) time for the engine test cells.</li></ul></p><br>","Sterling Performance, Inc.",P0423
CONSUMERS ENERGY D.E. KARN FACILITY,B2840,MAJOR,"2742 N. Weadock Hwy., Essexville, MI 48732",43.6359118,-83.8359227,"[-83.8359227,43.6359118]",2,0.0,0.0,0.0,2.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2021-06-03,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2840/B2840_VN_20210603.pdf' target='_blank'>June 3, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to continuously monitor SO and NO . 2 x</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2840/B2840_VN_20210520.pdf' target='_blank'>May 20, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>EGLE staff observed coal combustible residuals (CCR) on the exterior of the home as well as patio furniture, air conditioner, hot tub, boat, and children’s play furniture. Section 11519a requires that the owner or operator of a coal ash landfill or impoundment maintain a fugitive dust control plan that complies with 40 CFR 257.80(b) and is certified by a registered professional engineer pursuant to R 299.4910(9) of the part 115 rules. Consumers Energy Company must evaluate the current fugitive dust plan and amend where necessary it to prevent these violations from reoccurring.</li></ul></p><br>",Consumers Energy D.E. Karn Facility,B2840
"DUNN PAPER, INC.",B1855,MINOR,"144 First Street, Menominee, MI 49858",45.098978,-87.597526,"[-87.597526,45.098978]",3,0.0,0.0,2.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-05-21,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1855/B1855_VN_20210521.pdf' target='_blank'>May 21, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Visible emissions exceeding 6-minute average per hour of 27% opacity; Visible emissions exceeding 6-minute average of 20%</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1855/B1855_VN_20200922.pdf' target='_blank'>September 22, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The AQD has not received Menominee Acquisition Corporation's semiannual monitoring and deviation report for January 1 - June 30, 2020, which was required to be postmarked or received by the AQD district office by September 15, 2020.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1855/B1855_VN_20200115.pdf' target='_blank'>January 15, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Records indicate non- compliance with Rule 290</li></ul></p><br>","Dunn Paper, Inc.",B1855
DANI'S TRANSPORT,P1086,MINOR,"225 East Columbia Avenue, Pontiac, MI 48340",42.6714551,-83.2935339,"[-83.2935339,42.6714551]",2,0.0,1.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-05-13,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1086/P1086_VN_20210513.pdf' target='_blank'>May 13, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>A person shall not cause or permit the emission of an air containment that causes unreasonable interference with the comfortable enjoyment of life and property. Large dust plumes were observed originating from the facility entering the atmosphere and onto residential property.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1086/P1086_VN_20191023.pdf' target='_blank'>October 23, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Please see document.</li></ul></p><br>",Dani's Transport,P1086
INTERNATIONAL AUTOMOTIVE COMPONENTS,B6625,SM OPT OUT,"1905 Beard St, Port Huron, MI 48060",42.959401,-82.445972,"[-82.445972,42.959401]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-05-12,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B6625/B6625_VN_20210512.pdf' target='_blank'>May 12, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2020 air pollution report</li></ul></p><br>",International Automotive Components,B6625
MARSH PLATING CORPORATION,B2576,MINOR,"103 N Grove, Ypsilanti, MI 48198",42.2420487,-83.60442019999999,"[-83.60442019999999,42.2420487]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-05-11,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2576/B2576_VN_20210511.pdf' target='_blank'>May 11, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Acid tank is subject to PTI requirements unless Rule 290 or 291 requirements are met. The Company has not demonstrated that this process is exempt.</li><li>No approved MAP. MAP provided to AQD after inspection inadequate. No indication that acceptable pressure drop operating ranges have been established for each scrubber.</li><li>None of the 13 scrubbers have required pressure-drop indicators on them and could not determine if scrubbers were working properly.</li><li>Weekly pressure drop readings are not being taken nor are any records of the readings being maintained.</li><li>A Line 3 scrubber was turned off while plating operations were active.</li></ul></p><br>",Marsh Plating Corporation,B2576
ARAUCO NORTH AMERICA,P0699,MAJOR,"5851 Arauco Rd, Grayling, MI 49738",44.602272,-84.679221,"[-84.679221,44.602272]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2021-05-11,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0699/P0699_VN_20210511.pdf' target='_blank'>May 11, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Testing result reported for PM, PM10, and PM2.5 was 1.09 pounds per hour, permitted limit is 1.05 pounds per hour.</li><li>Testing result reported for PM was 0.0025 gr/dscf, permitted limit is 0.002 gr/dscf.</li><li>Testing result reported for PM 2.5 emissions was 16.70 pounds per hour, permitted limit is 16.55 pounds per hour.</li></ul></p><br>",Arauco North America,P0699
"ELITE CUSTOM CRUSHING, LLC",P1011,MINOR,"1750 E Gordonville Road, Midland, MI 49640",43.5685471,-84.3009625,"[-84.3009625,43.5685471]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-05-10,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1011/P1011_VN_20210510.pdf' target='_blank'>May 10, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2020 air pollution report</li></ul></p><br>","Elite Custom Crushing, LLC",P1011
ASSOCIATED CONSTRUCTORS LLC,N6667,MINOR,"Po Box 970    MI   Dway Industrial Park, Marquette,   MI   49855",46.538344,-87.498285,"[-87.498285, 46.538344]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-05-10,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6667/N6667_VN_20210510.pdf' target='_blank'>May 10, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2020 air pollution report</li></ul></p><br>",Associated Constructors LLC,N6667
ASSOCIATED CONSTRUCTORS LLC,N7162,MINOR,"Po Box 970    MI   Dway Industrial Park, Marquette,   MI   49855",46.5388386,-87.49500487,"[-87.4950048651786, 46.538838599774465]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-05-10,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7162/N7162_VN_20210510.pdf' target='_blank'>May 10, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2020 air pollution report</li></ul></p><br>",Associated Constructors LLC,N7162
GSA - FEDERAL BUILDING & PARKING GARAGE,M4803,SM OPT OUT,"985 Michigan Ave, Detroit, MI 48226",42.3430363,-83.0421442,"[-83.0421442,42.3430363]",3,0.0,1.0,1.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-05-07,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/M4803/M4803_VN_20210507.pdf' target='_blank'>May 7, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2020 air pollution report</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/M4803/M4803_VN_20200622.pdf' target='_blank'>June 22, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2019 air pollution report</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/M4803/M4803_VN_20190611.pdf' target='_blank'>June 11, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2018 air pollution report</li></ul></p><br>",GSA - Federal Building & Parking Garage,M4803
FORD MOTOR CO/ WAYNE COMPLEX,A8650,MAJOR,"37625 Michigan Ave, Wayne, MI 48184",42.2769973,-83.4069447,"[-83.4069447,42.2769973]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2021-05-06,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/A8650/A8650_VN_20210506.pdf' target='_blank'>May 6, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>This SC requires that EU- GUIDECOAT not operate unless the appropriate sections of FG-CONTROLS are installed, maintained and operated in a satisfactory manner. This SC puts forth that satisfactory operation of carbon adsorption wheels includes maintaining a minimum desorption gas inlet temperature of no more than</li><li>15° F below the average desorption gas inlet temperature during the most recent acceptable performance test values. The carbon adsorption wheels have been removed from operation.</li><li>This SC requires that EU- TOPCOAT not operate unless the appropriate sections of FG-CONTROLS are installed, maintained and operated in a satisfactory manner. This SC puts forth that satisfactory operation of carbon adsorption wheels includes maintaining a minimum desorption gas inlet temperature of no more than 15° F below the average desorption gas inlet temperature during the most recent acceptable performance test values. The carbon adsorption wheels have been removed from operation.</li><li>This SC requires that the permittee install, calibrate, maintain and operate temperature monitoring devices for the carbon concentrator and the fluidized bed carbon concentrator in FG-CONTROLS to monitor and record the desorption gas inlet temperature for the carbon concentrator and the Desorber Middle SCR temperature for the fluidized bed carbon concentrator on a continuous basis during operation. The carbon</li></ul></p><br>",Ford Motor Co/ Wayne Complex,A8650
LBWL - ECKERT STATION & REO TOWN PLANT,B2647,MAJOR,"1201 South Washington Avenue, Lansing, MI 48910",42.71964639999999,-84.550884,"[-84.550884,42.71964639999999]",5,1.0,3.0,0.0,1.0,0.0,0.0,Feature,Point,2,Major Source,#FF0037,2021-05-06,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2647/B2647_VN_20210506.pdf' target='_blank'>May 6, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 601 Island Drive and 1201 S. Washington Avenue, Lansing, Michigan</span></p><p><ul><li>Exceeded the NOx emission limit of 39.6 pph based on a 24-hour rolling average on March 15, 2021.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2647/B2647_VN1_20191001.pdf' target='_blank'>October 1, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>SC V.1 and V.2 contain the requirements for quarterly testing of PM and HCI if not a LEE unit. The quarterly testing appears to not to have been completed per the requirements of 40 CFR 63.10006(f)(3).</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2647/B2647_VN2_20191001.pdf' target='_blank'>October 1, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The test results show emissions of 0.0033 lb/MM Btu of HCI in excess of the emission limit.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2647/B2647_VN_20190219.pdf' target='_blank'>February 19, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Second Violation Notice</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2647/B2647_VN_20181012.pdf' target='_blank'>October 12, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Emissions test data indicate exceedance of the PM 10 and PM2.5 allowable emission limits.</li></ul></p><br>",LBWL - Eckert Station & Reo Town Plant,B2647
"TOP GRADE AGGREGATES, LLC",E2842,MINOR,"700 Nazareth Road, Kalamazoo, MI 49001",42.299332,-85.533289,"[-85.533289,42.299332]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-05-06,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/E2842/E2842_VN_20210506.pdf' target='_blank'>May 6, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2020 air pollution report</li></ul></p><br>","Top Grade Aggregates, LLC",E2842
QUAKER HOUGHTON,A7513,MINOR,"9100 Freeland Street, Detroit, MI 48228",42.3609365,-83.1831419,"[-83.1831419,42.3609365]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,4,True Minor Source,#FFBD00,2021-04-29,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/A7513/A7513_VN_20210429.pdf' target='_blank'>April 29, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Objectionable chemical odors in nearby neighborhoods, attributable to the facility, of sufficient intensity, duration, and frequency as to constitute unreasonable interference with the comfortable enjoyment of life and property.</li></ul></p><br>",Quaker Houghton,A7513
CENTURION MEDICAL PRODUCTS,N5109,SM OPT OUT,"301 Catrell Dr., Howell, MI 48843",42.6055875,-83.9137041,"[-83.9137041,42.6055875]",2,0.0,0.0,0.0,2.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-04-22,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5109/N5109_VN_20210422.pdf' target='_blank'>April 22, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Rule 901a states “A person shall not cause or permit the emission of an air contaminant that causes injurious effects to human health or safety, animal life, plant life of significant economic value, or property.”</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5109/N5109_VN_20210222.pdf' target='_blank'>February 22, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Dry bed stack parameters fail to meet the stack height requirement.</li></ul></p><br>",Centurion Medical Products,N5109
GREAT LAKES RUBBER CO INC,B8919,SM OPT OUT,"30573 Beck Rd, Wixom, MI 48393",42.5190446,-83.5193465,"[-83.5193465,42.5190446]",1,0.0,0.0,0.0,1.0,0.0,0.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2021-04-16,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B8919/B8919_VN_20210416.pdf' target='_blank'>April 16, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The facility was unable to produce accurate and complete records of facility- wide hazardous air pollutants (HAPs) emission calculations.</li><li>EGLE was previously notified that the curing oven began operation in September of 2020. However, during the inspection, it was indicated that the curing oven began operation in February 2020. This is a violation of the requirement to notify EGLE within 30 days after completion of installation or construction of the curing oven.</li></ul></p><br>",Great Lakes Rubber Co Inc,B8919
